,from,text
0,Crystal,How did it go
5,Crystal,Sorry ye i was buying lunch n eating lunch
6,Crystal,Will get back to u asap
7,Crystal,How did u answer
9,Crystal,Mm
10,Crystal,How do u feel abt what she sais
16,Crystal,Mmm
17,Crystal,Ye just go for it then min . Dont worry about it
18,Crystal,I think its a very valid reason
19,Crystal,Thr really is no point staying tgth with someone u dont see yourself wifh in the long term . And if yall r meant to be it will happen
20,Crystal,"Maybe u cn just reply with a ""thank you for taking your time to type all of these .I really appreciate the past few months . I will see you around if i see you Keting"" something like this"
21,Crystal,To just end it off with no animosity
22,Crystal,Dont say i love you or what not
24,Crystal,It will make things more confusing
27,Crystal,Ono
28,Crystal,Minn
29,Crystal,R u still flying to korea next sunday?
30,Crystal,With the whole covid situation
33,Crystal,Sorry ye this sun
34,Crystal,What time u flying
37,Crystal,So u will enter at 7 ah
38,Crystal,I go send u off?:)
41,Crystal,Also updates on this fri i think i vn only join u for dinner n chill at night cuz im meeting another grp of friends  before
42,Crystal,Okie i will be thr!
43,Crystal,
44,Crystal,Aiyooo
45,Crystal,
46,Crystal,But i will update u again! Cuz i still dk wht we r doign
47,Crystal,Doing
50,Crystal,Ok updates i think we cn meet to cycle probably around 6pm? Then we cn hv dinz at 730? Sounds good?:)
51,Crystal,Cuz i cnt cycle tht long anyways its gna be my first time since my surgery
54,Crystal,
55,Crystal,Do u hv yr own bike?
59,Crystal,Hmmm i hv foldable bike if u wnt use
60,Crystal,Wait how tall r u
62,Crystal,Depends on whr we gng
64,Crystal,Think u cn use my dad's bike
65,Crystal,Just need ask if cn lend u
68,Crystal,Ok will ask XD
71,Crystal,Min
72,Crystal,So right
73,Crystal,Cn we meet tdy to cycle later in the morning instead
74,Crystal,Den we hv lunch
75,Crystal,So we cycle from 10-11. Den we hv lunch from 11-1215 ?
79,Crystal,👉👈 i know a bit last min
81,Crystal,Hmmm
82,Crystal,Or shld we just meet in the late aftn for lunch?:)
83,Crystal,We cn do cycling another time XD
85,Crystal,Nice
86,Crystal,:)
88,Crystal,Why not!
89,Crystal,Whr r u now ah
90,Crystal,We try find somewhr convenient
91,Crystal,Like whr r u stsying ntu ?
94,Crystal,Fiekjgkef
95,Crystal,Oo
96,Crystal,Whrs good
97,Crystal,For lunch
98,Crystal,Hmm
99,Crystal,Or
100,Crystal,Shld we just meet for tea
101,Crystal,Like 3pm-4pm ! At jE?:)
102,Crystal,Then i cn meet yr gf n we cn just chill n chat n catchup:)
103,Crystal,"Cuz anyway now tht yall tgth i also dk how chill she is with us going biking tgth?:"")"
105,Crystal,Or
106,Crystal,R u free tmr for dinner?:)
107,Crystal,U cn jio yr gf also
111,Crystal,Onooo i cnt :((((
112,Crystal,Hpw abt sunday lunch before u leave for korea!
113,Crystal,Den i gotta leave for a bit but will be at the airport to send u off!
117,Crystal,
118,Crystal,Aiyo its ok i will see her at airport ?eheheh
119,Crystal,What time u entering !
122,Crystal,Hehehe ye
123,Crystal,Oh
124,Crystal,:(
128,Crystal,Wah so late ? Ok
129,Crystal,Then i go send u off at 830?:)
131,Crystal,Which terminal
134,Crystal,Okie
136,Crystal,Ill be thr at 830
137,Crystal,
138,Crystal,Eh so lunch on sunday
139,Crystal,We meet 1cn ? Is bugis good for u? :)
141,Crystal,Wah
142,Crystal,Er
143,Crystal,Cn we do in btwn
144,Crystal,Or issit cuz u gng thr to deposit yr luggafe
145,Crystal,Luggage
147,Crystal,Haiz
148,Crystal,Maybe we cn meet at 130?
149,Crystal,In btwn bugis n airport
153,Crystal,Ye
154,Crystal,I was thinking paya lebar
155,Crystal,?
156,Crystal,Btw so sorry i cldn make it last minute tonight
157,Crystal,><
158,Crystal,Tx for understanding and accomodating
159,Crystal,
163,Crystal,
167,Crystal,Sure
169,Crystal,Im open to emeting new people
170,Crystal,Ye
172,Crystal,Why wld i
174,Crystal,So we cn meet tmr 1245- 230 ard thr?
177,Crystal,Idm but i will hv to leave at 230 regardless leh
178,Crystal,Issit yr softball friends cn only make it at 130
179,Crystal,Or we cn meet earlier to catchup too before they come if u want
182,Crystal,Okiew ! So  1245 ?:)
